2023-12-10 22:17:14,212 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Configure stats pid to 2013
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Loading settings from /root/plip/reproduce_cym/wandb/settings
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'reproduce_cym/infer_PanNuke.py', 'program_abspath': '/root/plip/reproduce_cym/infer_PanNuke.py', 'program': 'infer_PanNuke.py'}
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_init.py:_log_setup():524] Logging user logs to /root/plip/reproduce_cym/wandb/run-20231210_221714-tv5tafxe/logs/debug.log
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_init.py:_log_setup():525] Logging internal logs to /root/plip/reproduce_cym/wandb/run-20231210_221714-tv5tafxe/logs/debug-internal.log
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_init.py:init():564] calling init triggers
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'architecture': 'PLIP', 'dataset': 'PanNuke', 'epochs': 3}
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_init.py:init():614] starting backend
2023-12-10 22:17:14,213 INFO    MainThread:2013 [wandb_init.py:init():618] setting up manager
2023-12-10 22:17:14,217 INFO    MainThread:2013 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-10 22:17:14,218 INFO    MainThread:2013 [wandb_init.py:init():624] backend started and connected
2023-12-10 22:17:14,224 INFO    MainThread:2013 [wandb_init.py:init():716] updated telemetry
2023-12-10 22:17:14,287 INFO    MainThread:2013 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-10 22:17:15,041 INFO    MainThread:2013 [wandb_run.py:_on_init():2254] communicating current version
2023-12-10 22:17:15,654 INFO    MainThread:2013 [wandb_run.py:_on_init():2263] got version response 
2023-12-10 22:17:15,654 INFO    MainThread:2013 [wandb_init.py:init():800] starting run threads in backend
2023-12-10 22:17:16,262 INFO    MainThread:2013 [wandb_run.py:_console_start():2233] atexit reg
2023-12-10 22:17:16,262 INFO    MainThread:2013 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-10 22:17:16,263 INFO    MainThread:2013 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-10 22:17:16,263 INFO    MainThread:2013 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-10 22:17:16,263 INFO    MainThread:2013 [wandb_init.py:init():841] run started, returning control to user process
2023-12-10 22:28:20,721 INFO    MainThread:2013 [wandb_run.py:_finish():1962] finishing run hellocymic/PLIP/tv5tafxe
2023-12-10 22:28:20,721 INFO    MainThread:2013 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-12-10 22:28:20,722 INFO    MainThread:2013 [wandb_run.py:_restore():2185] restore
2023-12-10 22:28:20,722 INFO    MainThread:2013 [wandb_run.py:_restore():2191] restore done
